Date,Close,Open,High,Low,Volume,,Vol.
03/25/2019,"11,050.80","10,945.30","11,138.80","10,945.30", 10.230000 ,,10.23M
03/26/2019,"11,121.20","11,121.20","11,174.00","11,015.60", 9.630000 ,,9.63M
03/27/2019,"11,385.20","11,226.80","11,385.20","11,138.80", 6.950000 ,,6.95M
03/28/2019,"11,420.40","11,314.80","11,420.40","11,297.20", 6.880000 ,,6.88M
03/29/2019,"11,332.40","11,455.60","11,508.40","11,226.80", 17.890000 ,,17.89M
04/01/2019,"10,452.50","10,347.00","10,558.10","10,100.60", 15.990000 ,,15.99M
04/03/2019,"12,441.00","12,229.80","12,441.00","12,212.20", 13.740000 ,,13.74M
04/04/2019,"11,402.80","11,314.80","11,402.80","11,262.00", 7.570000 ,,7.57M
04/06/2019,"11,117.70","11,255.00","11,346.50","11,003.30", 7.030000 ,,7.03M
04/07/2019,"10,202.70","10,065.40","10,294.20","10,065.40", 10.650000 ,,10.65M
04/09/2019,"9,882.40","9,836.60","9,973.90","9,836.60", 12.320000 ,,12.32M
04/10/2019,"9,768.00","9,882.40","9,928.10","9,745.10", 10.060000 ,,10.06M
04/11/2019,"9,951.00","10,111.20","10,156.90","9,928.10", 12.720000 ,,12.72M
04/12/2019,"10,728.80","10,705.90","10,797.40","10,683.10", 10.350000 ,,10.35M
04/16/2019,"11,174.00","11,226.80","11,262.00","11,103.60", 4.230000 ,,4.23M
04/17/2019,"11,121.20","11,174.00","11,209.20","11,086.00", 5.090000 ,,5.09M
04/18/2019,"11,015.60","11,050.80","11,103.60","11,015.60", 6.540000 ,,6.54M
04/19/2019,"11,121.20","11,033.20","11,156.40","11,033.20", 3.320000 ,,3.32M
04/22/2019,"11,209.20","11,033.20","11,297.20","11,033.20", 4.990000 ,,4.99M
04/23/2019,"11,226.80","11,262.00","11,262.00","11,209.20", 4.620000 ,,4.62M
04/24/2019,"11,737.10","11,262.00","11,737.10","11,226.80", 15.880000 ,,15.88M
04/25/2019,"11,649.10","11,789.90","11,842.70","11,613.90", 11.210000 ,,11.21M
04/26/2019,"11,825.10","11,684.30","11,895.50","11,649.10", 7.720000 ,,7.72M
05/03/2019,"12,335.40","12,353.00","12,529.00","12,300.20", 15.620000 ,,15.62M
05/04/2019,"11,438.00","11,402.80","11,490.80","11,350.00", 5.030000 ,,5.03M
05/06/2019,"10,888.90","11,163.40","11,300.70","10,843.20", 6.290000 ,,6.29M
05/07/2019,"10,202.70","10,202.70","10,271.30","10,134.00", 6.460000 ,,6.46M
05/08/2019,"10,134.00","10,225.50","10,294.20","10,065.40", 12.980000 ,,12.98M
05/09/2019,"9,928.10","9,905.30","10,042.50","9,882.40", 5.220000 ,,5.22M
05/11/2019,"10,019.70","9,973.90","10,134.00","9,951.00", 11.620000 ,,11.62M
05/12/2019,"10,568.70","10,683.10","10,728.80","10,545.80", 10.910000 ,,10.91M
05/13/2019,"11,279.60","11,596.30","11,596.30","11,262.00", 10.430000 ,,10.43M
05/14/2019,"11,402.80","11,156.40","11,402.80","11,156.40", 4.980000 ,,4.98M
05/15/2019,"11,402.80","11,402.80","11,508.40","11,367.60", 6.950000 ,,6.95M
05/16/2019,"11,367.60","11,420.40","11,508.40","11,367.60", 3.770000 ,,3.77M
05/17/2019,"11,350.00","11,367.60","11,402.80","11,332.40", 4.080000 ,,4.08M
05/20/2019,"11,543.50","11,350.00","11,631.50","11,350.00", 6.070000 ,,6.07M
05/21/2019,"11,578.70","11,596.30","11,684.30","11,543.50", 5.880000 ,,5.88M
05/22/2019,"11,613.90","11,613.90","11,754.70","11,578.70", 6.880000 ,,6.88M
05/23/2019,"11,525.90","11,613.90","11,631.50","11,490.80", 6.940000 ,,6.94M
05/24/2019,"11,314.80","11,438.00","11,490.80","11,314.80", 10.040000 ,,10.04M
05/27/2019,"11,332.40","11,297.20","11,385.20","11,297.20", 4.650000 ,,4.65M
05/28/2019,"11,279.60","11,438.00","11,438.00","11,279.60", 7.770000 ,,7.77M
05/29/2019,"11,438.00","11,367.60","11,438.00","11,279.60", 4.550000 ,,4.55M
05/30/2019,"11,262.00","11,438.00","11,438.00","11,244.40", 11.480000 ,,11.48M
05/31/2019,"11,297.20","11,262.00","11,332.40","11,262.00", 9.290000 ,,9.29M
06/03/2019,"12,317.80","12,317.80","12,388.20","12,106.60", 9.240000 ,,9.24M
06/05/2019,"11,772.30","11,754.70","11,895.50","11,684.30", 12.320000 ,,12.32M
06/06/2019,"10,385.70","10,934.70","10,934.70","10,225.50", 14.920000 ,,14.92M
06/08/2019,"9,951.00","9,859.50","10,065.40","9,859.50", 11.900000 ,,11.90M
06/09/2019,"9,790.90","9,973.90","10,019.70","9,790.90", 8.860000 ,,8.86M
06/11/2019,"10,065.40","10,065.40","10,134.00","10,042.50", 9.530000 ,,9.53M
06/12/2019,"10,911.80","10,568.70","10,934.70","10,568.70", 15.010000 ,,15.01M
06/13/2019,"10,522.90","10,705.90","10,705.90","10,477.20", 5.310000 ,,5.31M
06/14/2019,"10,500.00","10,522.90","10,545.80","10,500.00", 4.360000 ,,4.36M
06/17/2019,"10,271.30","10,500.00","10,522.90","10,271.30", 7.670000 ,,7.67M
06/18/2019,"10,545.80","10,271.30","10,568.70","10,271.30", 10.650000 ,,10.65M
06/19/2019,"10,911.80","10,728.80","10,911.80","10,660.20", 17.620000 ,,17.62M
06/20/2019,"10,797.40","11,026.20","11,026.20","10,797.40", 9.200000 ,,9.20M
06/21/2019,"10,843.20","10,934.70","10,934.70","10,797.40", 9.330000 ,,9.33M
06/24/2019,"10,683.10","10,888.90","11,003.30","10,660.20", 6.510000 ,,6.51M
06/25/2019,"10,568.70","10,614.40","10,705.90","10,522.90", 6.920000 ,,6.92M
06/26/2019,"10,477.20","10,545.80","10,637.30","10,477.20", 4.010000 ,,4.01M
06/27/2019,"10,317.00","10,477.20","10,500.00","10,317.00", 7.910000 ,,7.91M
06/28/2019,"10,751.70","10,317.00","10,751.70","10,271.30", 8.260000 ,,8.26M
07/01/2019,"10,329.40","10,663.70","10,681.30","10,259.00", 6.810000 ,,6.81M
07/03/2019,"12,001.10","12,317.80","12,335.40","12,001.10", 12.470000 ,,12.47M
07/05/2019,"11,789.90","11,895.50","11,895.50","11,754.70", 7.720000 ,,7.72M
07/06/2019,"10,500.00","10,522.90","10,660.20","10,454.30", 10.740000 ,,10.74M
07/08/2019,"10,111.20","10,019.70","10,134.00","9,973.90", 7.340000 ,,7.34M
07/10/2019,"9,745.10","9,768.00","9,836.60","9,699.40", 6.990000 ,,6.99M
07/11/2019,"10,385.70","10,134.00","10,408.50","10,111.20", 27.890000 ,,27.89M
07/15/2019,"9,813.80","10,065.40","10,065.40","9,813.80", 8.220000 ,,8.22M
07/16/2019,"9,882.40","9,882.40","9,905.30","9,813.80", 7.320000 ,,7.32M
07/17/2019,"9,768.00","9,905.30","9,905.30","9,745.10", 11.500000 ,,11.50M
07/18/2019,"9,585.00","9,768.00","9,790.90","9,539.30", 17.860000 ,,17.86M
07/19/2019,"9,424.90","9,607.90","9,699.40","9,333.40", 23.550000 ,,23.55M
07/22/2019,"9,493.50","9,424.90","9,699.40","9,287.60", 14.500000 ,,14.50M
07/23/2019,"9,928.10","9,516.40","9,951.00","9,516.40", 18.980000 ,,18.98M
07/24/2019,"9,859.50","9,928.10","9,973.90","9,790.90", 7.790000 ,,7.79M
07/25/2019,"10,248.40","9,836.60","10,248.40","9,836.60", 19.950000 ,,19.95M
07/26/2019,"10,317.00","10,339.90","10,545.80","10,271.30", 20.620000 ,,20.62M
07/29/2019,"10,111.20","10,317.00","10,317.00","9,951.00", 14.650000 ,,14.65M
07/30/2019,"9,836.60","10,111.20","10,156.90","9,836.60", 12.870000 ,,12.87M
07/31/2019,"10,317.00","9,790.90","10,317.00","9,745.10", 13.770000 ,,13.77M
08/01/2019,"10,153.40","10,347.00","10,382.20","10,100.60", 8.630000 ,,8.63M
08/03/2019,"11,948.30","11,789.90","12,071.50","11,754.70", 12.740000 ,,12.74M
08/04/2019,"11,402.80","11,438.00","11,490.80","11,367.60", 3.780000 ,,3.78M
08/05/2019,"11,666.70","11,701.90","11,719.50","11,613.90", 7.700000 ,,7.70M
08/07/2019,"9,951.00","10,156.90","10,202.70","9,928.10", 15.650000 ,,15.65M
08/08/2019,"10,660.20","10,134.00","10,660.20","10,134.00", 23.430000 ,,23.43M
08/10/2019,"10,019.70","9,790.90","10,019.70","9,722.30", 8.380000 ,,8.38M
08/11/2019,"10,385.70","10,385.70","10,431.40","10,294.20", 11.120000 ,,11.12M
08/13/2019,"10,728.80","10,660.20","10,934.70","10,660.20", 13.520000 ,,13.52M
08/14/2019,"10,728.80","10,888.90","10,888.90","10,705.90", 8.150000 ,,8.15M
08/15/2019,"10,637.30","10,522.90","10,637.30","10,431.40", 14.490000 ,,14.49M
08/16/2019,"10,545.80","10,637.30","10,683.10","10,477.20", 18.650000 ,,18.65M
08/19/2019,"10,545.80","10,522.90","10,660.20","10,500.00", 5.350000 ,,5.35M
08/20/2019,"10,477.20","10,545.80","10,660.20","10,408.50", 10.090000 ,,10.09M
08/21/2019,"10,614.40","10,477.20","10,637.30","10,431.40", 10.150000 ,,10.15M
08/22/2019,"10,545.80","10,660.20","10,683.10","10,522.90", 6.980000 ,,6.98M
08/23/2019,"10,705.90","10,637.30","10,728.80","10,568.70", 11.340000 ,,11.34M
08/26/2019,"10,431.40","10,568.70","10,591.60","10,385.70", 11.960000 ,,11.96M
08/27/2019,"10,248.40","10,522.90","10,545.80","10,248.40", 18.940000 ,,18.94M
08/28/2019,"10,179.80","10,248.40","10,294.20","10,111.20", 9.130000 ,,9.13M
08/29/2019,"10,134.00","10,179.80","10,179.80","10,065.40", 10.410000 ,,10.41M
08/30/2019,"10,156.90","10,134.00","10,271.30","10,088.30", 7.010000 ,,7.01M
09/01/2019,"10,382.20","10,206.20","10,487.70","10,206.20", 5.140000 ,,5.14M
09/04/2019,"11,297.20","11,420.40","11,438.00","11,262.00", 7.900000 ,,7.90M
09/05/2019,"11,578.70","11,631.50","11,701.90","11,473.20", 5.780000 ,,5.78M
09/07/2019,"9,768.00","9,973.90","10,042.50","9,768.00", 13.300000 ,,13.30M
09/08/2019,"10,568.70","10,705.90","10,751.70","10,522.90", 7.760000 ,,7.76M
09/09/2019,"9,699.40","9,836.60","9,859.50","9,699.40", 7.480000 ,,7.48M
09/10/2019,"10,019.70","10,019.70","10,019.70","9,928.10", 6.490000 ,,6.49M
09/12/2019,"11,071.90","10,911.80","11,186.30","10,911.80", 16.640000 ,,16.64M
09/13/2019,"10,339.90","10,294.20","10,362.80","10,248.40", 9.820000 ,,9.82M
09/16/2019,"10,362.80","10,271.30","10,362.80","10,179.80", 11.370000 ,,11.37M
09/17/2019,"10,385.70","10,362.80","10,385.70","10,248.40", 7.580000 ,,7.58M
09/18/2019,"10,522.90","10,385.70","10,545.80","10,339.90", 12.950000 ,,12.95M
09/19/2019,"10,500.00","10,522.90","10,545.80","10,385.70", 7.180000 ,,7.18M
09/20/2019,"10,362.80","10,500.00","10,500.00","10,317.00", 10.740000 ,,10.74M
09/23/2019,"10,065.40","10,339.90","10,339.90","10,065.40", 11.280000 ,,11.28M
09/24/2019,"10,134.00","10,042.50","10,134.00","9,996.80", 4.180000 ,,4.18M
09/25/2019,"10,019.70","10,111.20","10,111.20","9,951.00", 8.340000 ,,8.34M
09/26/2019,"10,179.80","10,065.40","10,179.80","9,928.10", 7.020000 ,,7.02M
09/27/2019,"10,134.00","10,179.80","10,271.30","10,134.00", 6.720000 ,,6.72M
09/30/2019,"10,042.50","10,156.90","10,179.80","10,042.50", 7.210000 ,,7.21M
10/01/2019,"10,487.70","10,417.30","10,593.30","10,382.20", 4.880000 ,,4.88M
10/04/2019,"11,244.40","11,262.00","11,279.60","11,138.80", 6.040000 ,,6.04M
10/05/2019,"11,561.10","11,649.10","11,684.30","11,473.20", 5.230000 ,,5.23M
10/06/2019,"10,477.20","10,637.30","10,705.90","10,454.30", 13.830000 ,,13.83M
10/07/2019,"9,768.00","9,790.90","9,951.00","9,745.10", 7.890000 ,,7.89M
10/09/2019,"9,745.10","9,699.40","9,768.00","9,653.60", 7.270000 ,,7.27M
10/10/2019,"9,836.60","10,019.70","10,111.20","9,836.60", 8.290000 ,,8.29M
10/12/2019,"11,163.40","11,071.90","11,232.10","11,026.20", 21.400000 ,,21.40M
10/14/2019,"9,813.80","9,928.10","9,928.10","9,813.80", 6.230000 ,,6.23M
10/15/2019,"9,768.00","9,836.60","9,928.10","9,768.00", 7.610000 ,,7.61M
10/16/2019,"9,745.10","9,790.90","9,836.60","9,745.10", 5.520000 ,,5.52M
10/17/2019,"9,790.90","9,745.10","9,905.30","9,745.10", 10.170000 ,,10.17M
10/18/2019,"9,790.90","9,859.50","9,859.50","9,745.10", 4.820000 ,,4.82M
10/21/2019,"9,699.40","9,790.90","9,813.80","9,699.40", 6.680000 ,,6.68M
10/22/2019,"9,882.40","9,699.40","9,905.30","9,699.40", 8.630000 ,,8.63M
10/23/2019,"9,996.80","9,882.40","10,111.20","9,882.40", 14.520000 ,,14.52M
10/24/2019,"10,065.40","10,019.70","10,111.20","9,996.80", 10.830000 ,,10.83M
10/25/2019,"9,973.90","10,065.40","10,065.40","9,951.00", 5.010000 ,,5.01M
10/28/2019,"10,156.90","9,973.90","10,202.70","9,905.30", 15.330000 ,,15.33M
10/29/2019,"10,156.90","10,156.90","10,271.30","10,111.20", 11.250000 ,,11.25M
10/30/2019,"10,065.40","10,179.80","10,179.80","10,065.40", 6.460000 ,,6.46M
10/31/2019,"9,973.90","10,065.40","10,088.30","9,928.10", 12.150000 ,,12.15M
11/01/2019,"10,329.40","10,487.70","10,522.90","10,329.40", 7.280000 ,,7.28M
11/02/2019,"10,171.00","9,766.30","10,171.00","9,713.50", 7.770000 ,,7.77M
11/03/2019,"11,895.50","12,036.30","12,036.30","11,825.10", 13.300000 ,,13.30M
11/04/2019,"11,244.40","11,262.00","11,279.60","11,209.20", 4.150000 ,,4.15M
11/06/2019,"10,522.90","10,522.90","10,614.40","10,385.70", 9.290000 ,,9.29M
11/07/2019,"9,859.50","9,790.90","9,905.30","9,790.90", 6.540000 ,,6.54M
11/09/2019,"10,088.30","9,745.10","10,088.30","9,722.30", 9.900000 ,,9.90M
11/10/2019,"9,836.60","9,882.40","9,928.10","9,790.90", 8.740000 ,,8.74M
11/11/2019,"10,431.40","10,339.90","10,568.70","10,339.90", 16.850000 ,,16.85M
11/12/2019,"11,163.40","11,117.70","11,163.40","10,934.70", 11.380000 ,,11.38M
11/13/2019,"10,362.80","10,568.70","10,591.60","10,362.80", 13.720000 ,,13.72M
11/14/2019,"10,362.80","10,362.80","10,454.30","10,294.20", 11.640000 ,,11.64M
11/15/2019,"10,362.80","10,362.80","10,431.40","10,317.00", 7.230000 ,,7.23M
11/18/2019,"10,477.20","10,385.70","10,522.90","10,385.70", 8.080000 ,,8.08M
11/19/2019,"10,431.40","10,500.00","10,500.00","10,385.70", 8.780000 ,,8.78M
11/20/2019,"10,248.40","10,431.40","10,431.40","10,179.80", 14.660000 ,,14.66M
11/21/2019,"10,065.40","10,202.70","10,225.50","10,065.40", 15.800000 ,,15.80M
11/22/2019,"10,111.20","10,156.90","10,225.50","10,065.40", 12.140000 ,,12.14M
11/25/2019,"10,179.80","10,134.00","10,225.50","10,065.40", 8.920000 ,,8.92M
11/26/2019,"10,362.80","10,225.50","10,431.40","10,225.50", 11.560000 ,,11.56M
11/27/2019,"10,339.90","10,408.50","10,431.40","10,317.00", 7.420000 ,,7.42M
11/28/2019,"10,339.90","10,339.90","10,385.70","10,271.30", 7.910000 ,,7.91M
11/29/2019,"10,454.30","10,339.90","10,500.00","10,271.30", 13.350000 ,,13.35M
12/02/2019,"10,382.20","10,171.00","10,505.30","10,118.20", 21.770000 ,,21.77M
12/03/2019,"11,913.10","12,001.10","12,018.70","11,860.30", 14.410000 ,,14.41M
12/04/2019,"11,279.60","11,244.40","11,279.60","11,209.20", 4.320000 ,,4.32M
12/06/2019,"10,568.70","10,477.20","10,637.30","10,454.30", 6.600000 ,,6.60M
12/07/2019,"10,019.70","9,928.10","10,065.40","9,905.30", 7.090000 ,,7.09M
12/08/2019,"10,797.40","10,568.70","10,911.80","10,568.70", 17.120000 ,,17.12M
12/09/2019,"10,317.00","10,134.00","10,339.90","10,134.00", 11.720000 ,,11.72M
12/11/2019,"10,522.90","10,408.50","10,568.70","10,317.00", 13.800000 ,,13.80M
12/12/2019,"11,071.90","11,117.70","11,163.40","11,026.20", 8.740000 ,,8.74M
12/13/2019,"10,888.90","11,071.90","11,209.20","10,888.90", 19.960000 ,,19.96M
12/16/2019,"10,866.10","10,888.90","10,934.70","10,774.60", 10.780000 ,,10.78M
12/17/2019,"10,591.60","10,866.10","10,911.80","10,477.20", 20.780000 ,,20.78M
12/18/2019,"10,317.00","10,591.60","10,591.60","10,294.20", 15.980000 ,,15.98M
12/19/2019,"10,431.40","10,317.00","10,568.70","10,317.00", 12.120000 ,,12.12M
12/20/2019,"10,522.90","10,500.00","10,637.30","10,431.40", 11.400000 ,,11.40M
12/23/2019,"10,545.80","10,591.60","10,751.70","10,500.00", 8.440000 ,,8.44M
12/24/2019,"10,614.40","10,545.80","10,660.20","10,500.00", 6.780000 ,,6.78M
12/25/2019,"10,591.60","10,614.40","10,705.90","10,591.60", 5.010000 ,,5.01M
12/26/2019,"10,522.90","10,660.20","10,660.20","10,522.90", 6.330000 ,,6.33M
12/27/2019,"10,774.60","10,522.90","10,774.60","10,454.30", 8.810000 ,,8.81M
12/30/2019,"10,820.30","10,820.30","10,911.80","10,751.70", 6.190000 ,,6.19M
12/31/2019,"10,751.70","10,820.30","10,843.20","10,683.10", 6.060000 ,,6.06M
01/04/2020,"7,892.20","7,640.60","8,006.60","7,617.70", 10.230000 ,,10.23M
01/06/2020,"12,650.40","12,719.00","12,719.00","12,558.90", 16.900000 ,,16.90M
01/07/2020,"12,536.00","12,353.00","12,581.80","12,307.20", 22.840000 ,,22.84M
01/09/2020,"13,826.40","13,687.00","13,910.00","13,631.30", 29.400000 ,,29.40M
01/10/2020,"15,052.90","14,829.90","15,164.40","14,774.20", 30.120000 ,,30.12M
01/12/2020,"19,847.60","19,457.30","19,847.60","19,262.20", 38.260000 ,,38.26M
01/13/2020,"11,094.80","11,071.90","11,163.40","11,026.20", 9.390000 ,,9.39M
01/14/2020,"11,438.00","11,094.80","11,460.80","11,071.90", 20.140000 ,,20.14M
01/15/2020,"11,506.60","11,460.80","11,598.10","11,392.20", 12.390000 ,,12.39M
01/16/2020,"11,575.20","11,438.00","11,598.10","11,415.10", 14.440000 ,,14.44M
01/17/2020,"11,438.00","11,575.20","11,735.30","11,392.20", 13.330000 ,,13.33M
01/20/2020,"11,666.70","11,438.00","11,666.70","11,300.70", 12.030000 ,,12.03M
01/21/2020,"11,826.90","11,781.10","11,895.50","11,689.60", 12.450000 ,,12.45M
01/22/2020,"12,032.70","11,826.90","12,078.50","11,826.90", 18.790000 ,,18.79M
01/30/2020,"11,575.20","11,689.60","11,849.70","11,415.10", 27.440000 ,,27.44M
01/31/2020,"11,026.20","11,438.00","11,575.20","11,026.20", 23.160000 ,,23.16M
02/01/2020,"10,980.40","10,751.70","10,980.40","10,683.10", 8.910000 ,,8.91M
02/03/2020,"10,202.70","10,156.90","10,294.20","10,156.90", 8.330000 ,,8.33M
02/06/2020,"12,375.90","12,719.00","12,719.00","12,330.10", 24.200000 ,,24.20M
02/07/2020,"12,627.50","12,581.80","12,696.10","12,536.00", 27.380000 ,,27.38M
02/10/2020,"14,885.70","15,080.80","15,192.30","14,495.40", 35.470000 ,,35.47M
02/11/2020,"17,060.00","17,032.10","17,115.70","16,920.60", 18.230000 ,,18.23M
02/12/2020,"19,680.30","19,847.60","19,875.40","19,568.80", 25.700000 ,,25.70M
02/13/2020,"10,843.20","10,866.10","10,934.70","10,797.40", 11.080000 ,,11.08M
02/14/2020,"10,843.20","10,797.40","10,866.10","10,683.10", 10.640000 ,,10.64M
02/17/2020,"10,866.10","10,843.20","10,911.80","10,797.40", 5.720000 ,,5.72M
02/18/2020,"10,660.20","10,911.80","10,911.80","10,660.20", 15.700000 ,,15.70M
02/19/2020,"10,637.30","10,660.20","10,728.80","10,568.70", 11.540000 ,,11.54M
02/20/2020,"10,866.10","10,728.80","10,866.10","10,637.30", 11.000000 ,,11.00M
02/21/2020,"10,774.60","10,866.10","10,888.90","10,751.70", 9.510000 ,,9.51M
02/24/2020,"10,385.70","10,408.50","10,591.60","10,385.70", 27.250000 ,,27.25M
02/25/2020,"10,568.70","10,339.90","10,568.70","10,339.90", 11.170000 ,,11.17M
02/26/2020,"10,408.50","10,408.50","10,522.90","10,385.70", 9.480000 ,,9.48M
02/27/2020,"10,500.00","10,385.70","10,545.80","10,385.70", 6.990000 ,,6.99M
02/28/2020,"10,225.50","10,317.00","10,431.40","10,179.80", 13.870000 ,,13.87M
03/01/2020,"11,049.10","11,071.90","11,140.60","11,003.30", 16.490000 ,,16.49M
03/02/2020,"11,232.10","10,660.20","11,346.50","10,385.70", 25.440000 ,,25.44M
03/03/2020,"10,202.70","10,431.40","10,431.40","10,202.70", 9.290000 ,,9.29M
03/04/2020,"8,075.20","7,892.20","8,098.10","7,869.30", 13.700000 ,,13.70M
03/06/2020,"12,330.10","12,375.90","12,444.50","12,170.00", 25.310000 ,,25.31M
03/07/2020,"12,581.80","12,673.30","12,696.10","12,536.00", 17.080000 ,,17.08M
03/08/2020,"12,767.10","12,098.10","12,822.90","12,098.10", 29.650000 ,,29.65M
03/09/2020,"13,937.90","13,937.90","14,049.40","13,882.10", 25.540000 ,,25.54M
03/11/2020,"17,115.70","17,283.00","17,450.30","17,032.10", 30.750000 ,,30.75M
03/12/2020,"20,544.50","19,819.70","20,544.50","19,680.30", 39.510000 ,,39.51M
03/13/2020,"8,715.70","8,258.20","9,013.10","8,212.50", 27.030000 ,,27.03M
03/16/2020,"8,738.60","8,784.40","9,081.70","8,670.00", 19.550000 ,,19.55M
03/17/2020,"8,784.40","8,509.80","8,830.10","8,509.80", 12.750000 ,,12.75M
03/18/2020,"9,013.10","8,875.90","9,196.10","8,853.00", 21.900000 ,,21.90M
03/19/2020,"8,761.50","8,875.90","8,921.60","8,647.10", 16.370000 ,,16.37M
03/20/2020,"8,509.80","8,807.20","8,830.10","8,509.80", 28.220000 ,,28.22M
03/23/2020,"7,915.10","7,960.80","8,235.30","7,915.10", 27.270000 ,,27.27M
03/24/2020,"7,823.60","7,777.80","7,937.90","7,617.70", 29.130000 ,,29.13M
03/25/2020,"8,143.80","8,166.70","8,166.70","7,960.80", 16.340000 ,,16.34M
03/26/2020,"7,754.90","8,029.40","8,052.30","7,732.10", 17.930000 ,,17.93M
03/27/2020,"7,411.80","7,732.10","7,777.80","7,228.80", 28.310000 ,,28.31M
03/30/2020,"7,480.40","7,000.00","7,640.60","6,977.20", 22.890000 ,,22.89M
03/31/2020,"7,709.20","7,480.40","7,937.90","6,977.20", 23.510000 ,,23.51M
04/02/2020,"11,255.00","11,277.80","11,346.50","11,026.20", 17.030000 ,,17.03M
04/03/2020,"10,225.50","10,248.40","10,339.90","10,225.50", 6.200000 ,,6.20M
